City,Population,Country,Coordinates
Satara,326789,India,Point(73.983333333 17.683333333)
Thrissur,315596,India,Point(76.21 10.52)
Bardhaman,314265,India,Point(87.85 23.25)
Kulti,313809,India,Point(86.85 23.73)
Nizamabad,311152,India,Point(78.094 18.671997222)
Purnia,310817,India,Point(87.47 25.78)
Newcastle upon Tyne,300196,United Kingdom,Point(-1.613333333 54.977777777)
Siliguri,294546,India,Point(88.42 26.72)
Bally,293373,India,Point(88.34 22.65)
Bradford,293277,United Kingdom,Point(-1.751 53.794)
Karimnagar,289821,India,Point(79.15 18.43333333)
Nottingham,289301,United Kingdom,Point(-1.149166666 52.955)
Ichalkaranji,287570,India,Point(74.47 16.7)
Tirupathi,287482,India,Point(79.42 13.65)
Bolton,285372,United Kingdom,Point(-2.433333333 53.583333333)
Brighton and Hove,285300,United Kingdom,Point(-0.152777777 50.827777777)
Satna,283004,India,Point(80.83 24.16)
Barasat,278435,India,Point(88.45 22.233333333)
Sunderland,277417,United Kingdom,Point(-1.380277777 54.9)
Ratlam,273892,India,Point(75.066666666 23.316666666)
Southampton,271173,United Kingdom,Point(-1.404722 50.906944)
Handwara,269311,India,Point(74.28 34.4)
Durg,268806,India,Point(81.28 21.19)
Plymouth,267918,United Kingdom,Point(-4.142222222 50.371388888)
Ananthapuram,267161,India,Point(77.6 14.683333333)
Kingston upon Hull,256406,United Kingdom,Point(-0.3325 53.744333)
Derby,255394,United Kingdom,Point(-1.466666666 52.916666666)
Southampton,253651,United Kingdom,Point(-1.404722 50.906944)
Godavarikhani,252693,India,Point(79.513311111 18.751891666)
Begusarai,252008,India,Point(86.13 25.42)
Wolverhampton,250970,United Kingdom,Point(-2.125278 52.584167)
North Dumdum,249142,India,Point(88.41907 22.65208)
Stoke-on-Trent,249008,United Kingdom,Point(-2.183333333 53.0)
Portsmouth,248440,United Kingdom,Point(-1.087222222 50.805833333)
Swansea,245500,United Kingdom,Point(-3.95 51.616666666)
Baranagar,245213,India,Point(88.37 22.64)
Uluberia,235345,India,Point(88.11 22.47)
Pali,229956,India,Point(73.323333333 25.7725)
Vizianagaram,228720,India,Point(83.416666666 18.116666666)
Nadiad,225132,India,Point(72.87 22.7)
Thiruvarur,222943,India,Point(79.15 10.8)
Aberdeen,222793,United Kingdom,Point(-2.1 57.15)
Sambhal,220813,India,Point(78.55 28.58)
Siliguri,218718,India,Point(88.42 26.72)
Naihati,217900,India,Point(88.42 22.9)
Bidhannagar,215514,India,Point(88.42 22.58)
Secunderabad,213698,India,Point(78.5 17.45)
Kharagpur,207604,India,Point(87.323653 22.330239)
Dindigul,207327,India,Point(77.95 10.35)
Milton Keynes,207057,United Kingdom,Point(-0.766666666 52.033333333)
Solihull,206674,United Kingdom,Point(-1.772 52.413)
Shimla,206575,India,Point(77.172222222 31.103333333)
English Bazar,205521,India,Point(88.15 25.0)
Eluru,203780,India,Point(81.1 16.7)
Luton,203201,United Kingdom,Point(-0.433333333 51.9)
Puri,201026,India,Point(85.816666666 19.8)
York,198051,United Kingdom,Point(-1.083333333 53.95)
